TPS_Auto_0403,    2.2521,    5.8649, -0.4286,10:36:3.200
TPS_Auto_0404,    2.2352,    5.8599, -0.3589,10:36:3.400
TPS_Auto_0405,    2.2238,    5.8705, -0.2847,10:36:3.610
TPS_Auto_0406,    2.2007,    5.8825, -0.2035,10:36:3.810
TPS_Auto_0407,    2.1701,    5.8905, -0.1361,10:36:4.010
TPS_Auto_0408,    2.1381,    5.9040, -0.1005,10:36:4.240
TPS_Auto_0409,    2.1160,    5.9090, -0.0832,10:36:4.340
TPS_Auto_0410,    2.0469,    5.9253, -0.0434,10:36:4.540
TPS_Auto_0411,    1.9840,    5.9425, -0.0193,10:36:4.750
TPS_Auto_0412,    1.9518,    5.9521, -0.0102,10:36:4.870
TPS_Auto_0413,    1.8850,    5.9747,  0.0026,10:36:5.070
TPS_Auto_0414,    1.8108,    5.9986,  0.0065,10:36:5.270
TPS_Auto_0415,    1.7318,    6.0282,  0.0004,10:36:5.480
TPS_Auto_0416,    1.6473,    6.0601, -0.0018,10:36:5.680
TPS_Auto_0417,    1.5718,    6.0925,  0.0019,10:36:5.880
TPS_Auto_0418,    1.5171,    6.1228,  0.0108,10:36:6.090
TPS_Auto_0419,    1.5004,    6.1331,  0.0175,10:36:6.190
TPS_Auto_0420,    1.4959,    6.1486,  0.0265,10:36:6.300
TPS_Auto_0421,    1.7187,    6.2067,  0.0972,10:36:6.970
TPS_Auto_0422,    1.7894,    6.2095,  0.1007,10:36:7.150
TPS_Auto_0423,    1.8481,    6.1995,  0.1059,10:36:7.260
TPS_Auto_0424,    1.9150,    6.1780,  0.1128,10:36:7.470
TPS_Auto_0425,    1.9846,    6.1529,  0.1124,10:36:7.670
TPS_Auto_0426,    2.0646,    6.1435,  0.1086,10:36:7.870
TPS_Auto_0427,    2.1539,    6.1447,  0.0976,10:36:8.070
TPS_Auto_0428,    2.2005,    6.1463,  0.0925,10:36:8.180
TPS_Auto_0429,    2.2507,    6.1601,  0.0881,10:36:8.290
TPS_Auto_0430,    2.3265,    6.1641,  0.0786,10:36:8.400
TPS_Auto_0431,    2.3795,    6.1739,  0.0722,10:36:8.520
TPS_Auto_0432,    2.4725,    6.1795,  0.0538,10:36:8.730
TPS_Auto_0433,    2.5652,    6.1677,  0.0336,10:36:8.930
